时间,网关,传感器,通道,值
2018-03-18 00:01:56.0,1100201607150029,1,3,0.000000
2018-03-18 00:01:56.0,1100201607150029,1,4,14.800000
2018-03-18 00:01:56.0,1100201607150029,1,64,0.140000
2018-03-18 00:01:56.0,1100201607150029,1,66,9.400000
2018-03-18 00:01:56.0,1100201607150029,1,67,13.500000
2018-03-18 00:01:56.0,1100201607150029,2,3,0.000000
2018-03-18 00:01:56.0,1100201607150029,2,4,0.000000
2018-03-18 00:01:56.0,1100201607150029,2,64,0.000000
2018-03-18 00:01:56.0,1100201607150029,2,66,0.000000
2018-03-18 00:01:56.0,1100201607150029,2,67,0.000000
2018-03-18 00:01:56.0,1100201607150029,3,1,13.200000
2018-03-18 00:01:56.0,1100201607150029,3,2,87.600000
2018-03-18 00:01:56.0,1100201607150029,3,4,11.900000
2018-03-18 00:01:56.0,1100201607150029,3,5,0.150000
2018-03-18 00:01:56.0,1100201607150029,3,20,450.000000
2018-03-18 00:01:56.0,1100201607150029,4,1,13.200000
2018-03-18 00:01:56.0,1100201607150029,4,2,86.900000
2018-03-18 00:01:56.0,1100201607150029,4,4,12.900000
2018-03-18 00:01:56.0,1100201607150029,4,5,0.224000
2018-03-18 00:01:56.0,1100201607150029,4,20,494.000000
2018-03-18 00:03:59.0,1100201607150029,1,3,0.000000
2018-03-18 00:03:59.0,1100201607150029,1,4,15.100000
2018-03-18 00:03:59.0,1100201607150029,1,64,0.120000
2018-03-18 00:03:59.0,1100201607150029,1,66,9.400000
2018-03-18 00:03:59.0,1100201607150029,1,67,13.500000
2018-03-18 00:04:00.0,1100201607150029,2,3,0.000000
2018-03-18 00:04:00.0,1100201607150029,2,4,0.000000
2018-03-18 00:04:00.0,1100201607150029,2,64,0.000000
2018-03-18 00:04:00.0,1100201607150029,2,66,0.000000
2018-03-18 00:04:00.0,1100201607150029,2,67,0.000000
2018-03-18 00:04:00.0,1100201607150029,3,1,13.200000
2018-03-18 00:04:00.0,1100201607150029,3,2,87.500000
2018-03-18 00:04:00.0,1100201607150029,3,4,11.900000
2018-03-18 00:04:00.0,1100201607150029,3,5,0.148000
2018-03-18 00:04:00.0,1100201607150029,3,20,452.000000
2018-03-18 00:04:00.0,1100201607150029,4,1,13.200000
2018-03-18 00:04:00.0,1100201607150029,4,2,86.700000
2018-03-18 00:04:00.0,1100201607150029,4,4,12.900000
2018-03-18 00:04:00.0,1100201607150029,4,5,0.224000
2018-03-18 00:04:00.0,1100201607150029,4,20,491.000000
2018-03-18 00:06:00.0,1100201607150029,1,3,0.000000
2018-03-18 00:06:00.0,1100201607150029,1,4,15.100000
2018-03-18 00:06:00.0,1100201607150029,1,64,0.120000
2018-03-18 00:06:00.0,1100201607150029,1,66,9.300000
2018-03-18 00:06:00.0,1100201607150029,1,67,13.500000
2018-03-18 00:06:00.0,1100201607150029,2,3,0.000000
2018-03-18 00:06:00.0,1100201607150029,2,4,0.000000
2018-03-18 00:06:00.0,1100201607150029,2,64,0.000000
2018-03-18 00:06:00.0,1100201607150029,2,66,0.000000
2018-03-18 00:06:00.0,1100201607150029,2,67,0.000000
2018-03-18 00:06:00.0,1100201607150029,3,1,13.200000
2018-03-18 00:06:00.0,1100201607150029,3,2,87.500000
2018-03-18 00:06:00.0,1100201607150029,3,4,11.900000
2018-03-18 00:06:00.0,1100201607150029,3,5,0.148000
2018-03-18 00:06:00.0,1100201607150029,3,20,446.000000
2018-03-18 00:06:00.0,1100201607150029,4,1,13.300000
2018-03-18 00:06:00.0,1100201607150029,4,2,86.900000
