时间,网关,传感器,通道,值
2018-04-25 00:00:52.0,1100201607150029,1,3,1.000000
2018-04-25 00:00:52.0,1100201607150029,1,4,19.300000
2018-04-25 00:00:52.0,1100201607150029,1,64,0.250000
2018-04-25 00:00:52.0,1100201607150029,1,66,15.400000
2018-04-25 00:00:52.0,1100201607150029,1,67,20.300000
2018-04-25 00:00:53.0,1100201607150029,2,3,0.000000
2018-04-25 00:00:53.0,1100201607150029,2,4,70.000000
2018-04-25 00:00:53.0,1100201607150029,2,64,0.230000
2018-04-25 00:00:53.0,1100201607150029,2,66,0.000000
2018-04-25 00:00:53.0,1100201607150029,2,67,0.000000
2018-04-25 00:00:53.0,1100201607150029,3,1,14.600000
2018-04-25 00:00:53.0,1100201607150029,3,2,78.600000
2018-04-25 00:00:53.0,1100201607150029,3,4,17.100000
2018-04-25 00:00:53.0,1100201607150029,3,5,0.410000
2018-04-25 00:00:53.0,1100201607150029,3,20,358.000000
2018-04-25 00:00:53.0,1100201607150029,4,1,14.600000
2018-04-25 00:00:53.0,1100201607150029,4,2,77.700000
2018-04-25 00:00:53.0,1100201607150029,4,4,18.800000
2018-04-25 00:00:53.0,1100201607150029,4,5,0.461000
2018-04-25 00:00:53.0,1100201607150029,4,20,362.000000
2018-04-25 00:02:54.0,1100201607150029,1,3,0.000000
2018-04-25 00:02:54.0,1100201607150029,1,4,19.200000
2018-04-25 00:02:54.0,1100201607150029,1,64,0.250000
2018-04-25 00:02:54.0,1100201607150029,1,66,15.300000
2018-04-25 00:02:54.0,1100201607150029,1,67,20.200000
2018-04-25 00:02:55.0,1100201607150029,2,3,0.000000
2018-04-25 00:02:55.0,1100201607150029,2,4,70.000000
2018-04-25 00:02:55.0,1100201607150029,2,64,0.230000
2018-04-25 00:02:55.0,1100201607150029,2,66,0.000000
2018-04-25 00:02:55.0,1100201607150029,2,67,0.000000
2018-04-25 00:02:55.0,1100201607150029,3,1,14.600000
2018-04-25 00:02:55.0,1100201607150029,3,2,77.300000
