时间,网关,传感器,通道,值
2018-03-22 01:14:15.0,1100201607150029,2,3,0.000000
2018-03-22 01:14:15.0,1100201607150029,2,4,0.000000
2018-03-22 01:14:15.0,1100201607150029,2,64,0.000000
2018-03-22 01:14:15.0,1100201607150029,2,66,0.000000
2018-03-22 01:14:15.0,1100201607150029,2,67,0.000000
2018-03-22 01:14:16.0,1100201607150029,3,1,14.300000
2018-03-22 01:14:16.0,1100201607150029,3,2,90.500000
2018-03-22 01:14:16.0,1100201607150029,3,4,14.800000
2018-03-22 01:14:16.0,1100201607150029,3,5,0.117000
2018-03-22 01:14:16.0,1100201607150029,3,20,494.000000
2018-03-22 01:14:16.0,1100201607150029,4,1,14.400000
2018-03-22 01:14:16.0,1100201607150029,4,2,88.800000
2018-03-22 01:14:16.0,1100201607150029,4,4,16.300000
2018-03-22 01:14:16.0,1100201607150029,4,5,0.164000
2018-03-22 01:14:16.0,1100201607150029,4,20,517.000000
2018-03-22 01:16:19.0,1100201607150029,1,3,0.000000
2018-03-22 01:16:19.0,1100201607150029,1,4,18.600000
2018-03-22 01:16:19.0,1100201607150029,1,64,0.080000
2018-03-22 01:16:19.0,1100201607150029,1,66,3.600000
2018-03-22 01:16:19.0,1100201607150029,1,67,6.900000
2018-03-22 01:16:19.0,1100201607150029,2,3,0.000000
2018-03-22 01:16:19.0,1100201607150029,2,4,0.000000
2018-03-22 01:16:19.0,1100201607150029,2,64,0.000000
2018-03-22 01:16:19.0,1100201607150029,2,66,0.000000
2018-03-22 01:16:19.0,1100201607150029,2,67,0.000000
2018-03-22 01:16:19.0,1100201607150029,3,1,14.200000
2018-03-22 01:16:19.0,1100201607150029,3,2,90.300000
2018-03-22 01:16:19.0,1100201607150029,3,4,14.700000
2018-03-22 01:16:19.0,1100201607150029,3,5,0.117000
2018-03-22 01:16:19.0,1100201607150029,3,20,500.000000
2018-03-22 01:16:19.0,1100201607150029,4,1,14.300000
2018-03-22 01:16:19.0,1100201607150029,4,2,88.700000
2018-03-22 01:16:19.0,1100201607150029,4,4,16.300000
2018-03-22 01:16:19.0,1100201607150029,4,5,0.166000
2018-03-22 01:16:19.0,1100201607150029,4,20,518.000000
2018-03-22 01:18:22.0,1100201607150029,1,3,0.000000
2018-03-22 01:18:22.0,1100201607150029,1,4,17.400000
2018-03-22 01:18:22.0,1100201607150029,1,64,0.080000
2018-03-22 01:18:22.0,1100201607150029,1,66,3.600000
2018-03-22 01:18:22.0,1100201607150029,1,67,6.900000
2018-03-22 01:18:23.0,1100201607150029,2,3,0.000000
2018-03-22 01:18:23.0,1100201607150029,2,4,0.000000
2018-03-22 01:18:23.0,1100201607150029,2,64,0.000000
2018-03-22 01:18:23.0,1100201607150029,2,66,0.000000
2018-03-22 01:18:23.0,1100201607150029,2,67,0.000000
2018-03-22 01:18:23.0,1100201607150029,3,1,14.300000
2018-03-22 01:18:23.0,1100201607150029,3,2,90.300000
2018-03-22 01:18:23.0,1100201607150029,3,4,14.700000
2018-03-22 01:18:23.0,1100201607150029,3,5,0.117000
2018-03-22 01:18:23.0,1100201607150029,3,20,501.000000
2018-03-22 01:18:23.0,1100201607150029,4,1,14.300000
2018-03-22 01:18:23.0,1100201607150029,4,2,88.800000
2018-03-22 01:18:23.0,1100201607150029,4,4,16.300000
2018-03-22 01:18:23.0,1100201607150029,4,5,0.163000
2018-03-22 01:18:23.0,1100201607150029,4,20,514.000000
2018-03-22 01:20:25.0,1100201607150029,1,3,0.000000
2018-03-22 01:20:25.0,1100201607150029,1,4,18.600000
2018-03-22 01:20:25.0,1100201607150029,1,64,0.080000
2018-03-22 01:20:25.0,1100201607150029,1,66,3.600000
2018-03-22 01:20:25.0,1100201607150029,1,67,6.900000
2018-03-22 01:20:25.0,1100201607150029,2,3,0.000000
2018-03-22 01:20:25.0,1100201607150029,2,4,0.000000
2018-03-22 01:20:25.0,1100201607150029,2,64,0.000000
2018-03-22 01:20:25.0,1100201607150029,2,66,0.000000
2018-03-22 01:20:25.0,1100201607150029,2,67,0.000000
2018-03-22 01:20:25.0,1100201607150029,3,1,14.200000
2018-03-22 01:20:25.0,1100201607150029,3,2,90.300000
2018-03-22 01:20:25.0,1100201607150029,3,4,14.700000
2018-03-22 01:20:25.0,1100201607150029,3,5,0.116000
2018-03-22 01:20:25.0,1100201607150029,3,20,495.000000
2018-03-22 01:20:25.0,1100201607150029,4,1,14.300000
2018-03-22 01:20:25.0,1100201607150029,4,2,88.800000
2018-03-22 01:20:25.0,1100201607150029,4,4,16.300000
2018-03-22 01:20:25.0,1100201607150029,4,5,0.166000
2018-03-22 01:20:25.0,1100201607150029,4,20,511.000000
2018-03-22 01:22:29.0,1100201607150029,1,3,0.000000
