时间,网关,传感器,通道,值
2018-04-03 00:01:59.0,1100201607150029,1,3,0.000000
2018-04-03 00:01:59.0,1100201607150029,1,4,22.600000
2018-04-03 00:01:59.0,1100201607150029,1,64,0.080000
2018-04-03 00:01:59.0,1100201607150029,1,66,3.800000
2018-04-03 00:01:59.0,1100201607150029,1,67,7.200000
2018-04-03 00:01:59.0,1100201607150029,2,3,1.000000
2018-04-03 00:01:59.0,1100201607150029,2,4,70.000000
2018-04-03 00:01:59.0,1100201607150029,2,64,0.010000
2018-04-03 00:01:59.0,1100201607150029,2,66,0.000000
2018-04-03 00:01:59.0,1100201607150029,2,67,0.000000
2018-04-03 00:02:00.0,1100201607150029,3,1,18.200000
2018-04-03 00:02:00.0,1100201607150029,3,2,59.400000
2018-04-03 00:02:00.0,1100201607150029,3,4,19.300000
2018-04-03 00:02:00.0,1100201607150029,3,5,0.112000
2018-04-03 00:02:00.0,1100201607150029,3,20,368.000000
2018-04-03 00:02:00.0,1100201607150029,4,1,18.300000
2018-04-03 00:02:00.0,1100201607150029,4,2,58.200000
2018-04-03 00:02:00.0,1100201607150029,4,4,20.600000
2018-04-03 00:02:00.0,1100201607150029,4,5,0.140000
2018-04-03 00:02:00.0,1100201607150029,4,20,332.000000
2018-04-03 00:04:03.0,1100201607150029,1,3,0.000000
2018-04-03 00:04:03.0,1100201607150029,1,4,22.600000
2018-04-03 00:04:03.0,1100201607150029,1,64,0.070000
2018-04-03 00:04:03.0,1100201607150029,1,66,3.900000
2018-04-03 00:04:03.0,1100201607150029,1,67,7.300000
2018-04-03 00:04:03.0,1100201607150029,2,3,0.000000
2018-04-03 00:04:03.0,1100201607150029,2,4,70.000000
2018-04-03 00:04:03.0,1100201607150029,2,64,0.010000
2018-04-03 00:04:03.0,1100201607150029,2,66,0.000000
2018-04-03 00:04:03.0,1100201607150029,2,67,0.000000
2018-04-03 00:04:04.0,1100201607150029,3,1,18.100000
2018-04-03 00:04:04.0,1100201607150029,3,2,61.200000
2018-04-03 00:04:04.0,1100201607150029,3,4,19.300000
2018-04-03 00:04:04.0,1100201607150029,3,5,0.112000
2018-04-03 00:04:04.0,1100201607150029,3,20,368.000000
2018-04-03 00:04:04.0,1100201607150029,4,1,18.300000
2018-04-03 00:04:04.0,1100201607150029,4,2,60.000000
2018-04-03 00:04:04.0,1100201607150029,4,4,20.600000
2018-04-03 00:04:04.0,1100201607150029,4,5,0.140000
2018-04-03 00:04:04.0,1100201607150029,4,20,333.000000
2018-04-03 00:06:07.0,1100201607150029,1,3,0.000000
2018-04-03 00:06:07.0,1100201607150029,1,4,22.500000
2018-04-03 00:06:07.0,1100201607150029,1,64,0.080000
2018-04-03 00:06:07.0,1100201607150029,1,66,3.900000
2018-04-03 00:06:07.0,1100201607150029,1,67,7.200000
2018-04-03 00:06:07.0,1100201607150029,2,3,0.000000
2018-04-03 00:06:07.0,1100201607150029,2,4,70.000000
2018-04-03 00:06:07.0,1100201607150029,2,64,0.010000
2018-04-03 00:06:07.0,1100201607150029,2,66,0.000000
2018-04-03 00:06:07.0,1100201607150029,2,67,0.000000
2018-04-03 00:06:07.0,1100201607150029,3,1,18.100000
2018-04-03 00:06:07.0,1100201607150029,3,2,62.800000
2018-04-03 00:06:07.0,1100201607150029,3,4,19.200000
2018-04-03 00:06:07.0,1100201607150029,3,5,0.111000
2018-04-03 00:06:07.0,1100201607150029,3,20,368.000000
2018-04-03 00:06:07.0,1100201607150029,4,1,18.200000
2018-04-03 00:06:07.0,1100201607150029,4,2,62.400000
2018-04-03 00:06:07.0,1100201607150029,4,4,20.600000
2018-04-03 00:06:07.0,1100201607150029,4,5,0.139000
2018-04-03 00:06:07.0,1100201607150029,4,20,338.000000
2018-04-03 00:08:10.0,1100201607150029,1,3,0.000000
2018-04-03 00:08:10.0,1100201607150029,1,4,22.500000
2018-04-03 00:08:10.0,1100201607150029,1,64,0.080000
2018-04-03 00:08:10.0,1100201607150029,1,66,3.900000
2018-04-03 00:08:10.0,1100201607150029,1,67,7.300000
2018-04-03 00:08:10.0,1100201607150029,2,3,0.000000
2018-04-03 00:08:10.0,1100201607150029,2,4,70.000000
2018-04-03 00:08:10.0,1100201607150029,2,64,0.010000
2018-04-03 00:08:10.0,1100201607150029,2,66,0.000000
2018-04-03 00:08:10.0,1100201607150029,2,67,0.000000
2018-04-03 00:08:10.0,1100201607150029,3,1,18.000000
2018-04-03 00:08:10.0,1100201607150029,3,2,63.000000
2018-04-03 00:08:10.0,1100201607150029,3,4,19.100000
2018-04-03 00:08:10.0,1100201607150029,3,5,0.111000
2018-04-03 00:08:10.0,1100201607150029,3,20,373.000000
2018-04-03 00:08:11.0,1100201607150029,4,1,18.200000
2018-04-03 00:08:11.0,1100201607150029,4,2,61.800000
2018-04-03 00:08:11.0,1100201607150029,4,4,20.500000
2018-04-03 00:08:11.0,1100201607150029,4,5,0.139000
2018-04-03 00:08:11.0,1100201607150029,4,20,343.000000
2018-04-03 00:10:15.0,1100201607150029,1,3,2.000000
2018-04-03 00:10:15.0,1100201607150029,1,4,21.100000
2018-04-03 00:10:15.0,1100201607150029,1,64,0.080000
2018-04-03 00:10:15.0,1100201607150029,1,66,3.700000
2018-04-03 00:10:15.0,1100201607150029,1,67,7.000000
2018-04-03 00:10:15.0,1100201607150029,2,3,0.000000
2018-04-03 00:10:15.0,1100201607150029,2,4,70.000000
2018-04-03 00:10:15.0,1100201607150029,2,64,0.010000
2018-04-03 00:10:15.0,1100201607150029,2,66,0.000000
2018-04-03 00:10:15.0,1100201607150029,2,67,0.000000
2018-04-03 00:10:15.0,1100201607150029,3,1,18.000000
2018-04-03 00:10:15.0,1100201607150029,3,2,62.100000
2018-04-03 00:10:15.0,1100201607150029,3,4,19.100000
2018-04-03 00:10:15.0,1100201607150029,3,5,0.112000
2018-04-03 00:10:15.0,1100201607150029,3,20,374.000000
2018-04-03 00:10:15.0,1100201607150029,4,1,18.200000
2018-04-03 00:10:15.0,1100201607150029,4,2,61.400000
2018-04-03 00:10:15.0,1100201607150029,4,4,20.500000
2018-04-03 00:10:15.0,1100201607150029,4,5,0.140000
2018-04-03 00:10:15.0,1100201607150029,4,20,339.000000
2018-04-03 00:12:19.0,1100201607150029,1,3,1.000000
2018-04-03 00:12:19.0,1100201607150029,1,4,22.400000
2018-04-03 00:12:19.0,1100201607150029,1,64,0.080000
2018-04-03 00:12:19.0,1100201607150029,1,66,3.900000
2018-04-03 00:12:19.0,1100201607150029,1,67,7.300000
2018-04-03 00:12:19.0,1100201607150029,2,3,0.000000
2018-04-03 00:12:19.0,1100201607150029,2,4,70.000000
