时间,网关,传感器,通道,值
2018-05-31 10:14:38.0,1100201607150029,3,1,40.600000
2018-05-31 10:14:38.0,1100201607150029,2,3,55244.000000
2018-05-31 10:14:38.0,1100201607150029,1,3,1386.000000
2018-05-31 10:14:39.0,1100201607150029,4,1,39.600000
2018-05-31 10:14:38.0,1100201607150029,2,4,70.000000
2018-05-31 10:14:38.0,1100201607150029,3,2,29.500000
2018-05-31 10:14:38.0,1100201607150029,2,64,0.030000
2018-05-31 10:14:38.0,1100201607150029,3,4,26.100000
2018-05-31 10:14:39.0,1100201607150029,4,2,29.700000
2018-05-31 10:14:38.0,1100201607150029,1,4,27.000000
2018-05-31 10:14:38.0,1100201607150029,2,66,0.000000
2018-05-31 10:14:38.0,1100201607150029,3,5,0.241000
2018-05-31 10:14:38.0,1100201607150029,1,64,0.080000
2018-05-31 10:14:39.0,1100201607150029,4,4,25.400000
2018-05-31 10:14:38.0,1100201607150029,2,67,0.000000
2018-05-31 10:14:38.0,1100201607150029,3,20,305.000000
2018-05-31 10:14:39.0,1100201607150029,4,5,0.192000
2018-05-31 10:14:38.0,1100201607150029,1,66,17.500000
2018-05-31 10:14:39.0,1100201607150029,4,20,381.000000
2018-05-31 10:14:38.0,1100201607150029,1,67,22.800000
2018-05-31 10:16:39.0,1100201607150029,1,3,1396.000000
2018-05-31 10:16:39.0,1100201607150029,1,4,26.700000
2018-05-31 10:16:39.0,1100201607150029,1,64,0.060000
2018-05-31 10:16:39.0,1100201607150029,1,66,17.500000
2018-05-31 10:16:39.0,1100201607150029,1,67,22.800000
2018-05-31 10:16:40.0,1100201607150029,2,3,56149.000000
2018-05-31 10:16:40.0,1100201607150029,2,4,70.000000
2018-05-31 10:16:40.0,1100201607150029,2,64,0.030000
2018-05-31 10:16:40.0,1100201607150029,2,66,0.000000
2018-05-31 10:16:40.0,1100201607150029,2,67,0.000000
2018-05-31 10:16:40.0,1100201607150029,3,1,40.500000
2018-05-31 10:16:40.0,1100201607150029,3,2,34.000000
2018-05-31 10:16:40.0,1100201607150029,3,4,26.100000
2018-05-31 10:16:40.0,1100201607150029,3,5,0.242000
2018-05-31 10:16:40.0,1100201607150029,3,20,306.000000
2018-05-31 10:16:40.0,1100201607150029,4,1,39.900000
2018-05-31 10:16:40.0,1100201607150029,4,2,32.800000
2018-05-31 10:16:40.0,1100201607150029,4,4,25.500000
2018-05-31 10:16:40.0,1100201607150029,4,5,0.191000
2018-05-31 10:16:40.0,1100201607150029,4,20,384.000000
2018-05-31 10:18:43.0,1100201607150029,1,3,1404.000000
2018-05-31 10:18:43.0,1100201607150029,1,4,27.100000
2018-05-31 10:18:43.0,1100201607150029,1,64,0.070000
2018-05-31 10:18:43.0,1100201607150029,1,66,17.500000
